Parameter,Distribution_type,Lower_bound,Upper_bound,Mean,Standard_deviation
CO2_TAX,truncnorm,0.7,1.296296296,,
CO2_EFF,truncnorm,0.888888889,1.055555556,,
ELYS_ELEC_EFF,truncnorm,0.9,1.1,,
H2S_INVC,truncnorm,0.75,1.5,,
SMR_CCS_INVC,truncnorm,0.75,1.370784184,,
PV_INVC,truncnorm,0.75,2.066666667,,
ONS_WT_INVC,truncnorm,0.75,1.518181818,,
H2_OandM,truncnorm,0.75,1.5,,
SMR_CCS_OandM,truncnorm,0.75,1.5,,
H2_TRANS_INVC,truncnorm,0.75,1.5,,
ELEC_TRANS_INVC,truncnorm,0.75,1.5,,
IMPORT_H2_P,truncnorm,0.9,1.1,,
DH2_DEMAND_EAST,truncnorm,0.75,2.061403085,,
DH2_DEMAND_SOUTH,truncnorm,0.75,2.061403085,,
DH2_DEMAND_NORTH,truncnorm,0.75,1.937984496,,
DH2_DEMAND_WEST,truncnorm,0.75,1.476135804,,
DE_DEMAND_NORTH,truncnorm,0.75,1.25,,
DE_DEMAND_SOUTH,truncnorm,0.75,1.25,,
DE_DEMAND_EAST,truncnorm,0.75,1.25,,
DE_DEMAND_WEST,truncnorm,0.75,1.25,,
PV_LIMIT_NORTH,truncnorm,1,1.5,,
PV_LIMIT_SOUTH,truncnorm,1,1.5,,
PV_LIMIT_EAST,truncnorm,1,1.5,,
PV_LIMIT_WEST,truncnorm,1,1.5,,
ONS_LIMIT_EAST,truncnorm,1,1.5,,
ONS_LIMIT_WEST,truncnorm,1,1.5,,
ONS_LIMIT_NORTH,truncnorm,1,1.5,,
ONS_LIMIT_SOUTH,truncnorm,1,1.5,,
TRANS_DEMAND_REST,truncnorm,0.75,1.5,,
TRANS_DEMAND_DE,truncnorm,0.75,1.5,,